# BUSCO version is: 5.4.4 
# The lineage dataset is: arthropoda_odb10 (Creation date: 2020-09-10, number of genomes: 90, number of BUSCOs: 1013)
# Busco id
101349at6656
108705at6656
128188at6656
13051at6656
132760at6656
146920at6656
148713at6656
19044at6656
28872at6656
3644at6656
4227at6656
61577at6656
99998at6656
