group	lib.size	norm.factors	eff.lib.size
T23_rep1	999070	1.00934643897328	1008407.74678503
T23_rep2	999190	1.02314467189465	1022315.92471041
T23_rep3	999106	0.955163732684106	954309.816307087
T23_rep4	999348	0.95232454693251	951703.63132791
T23_rep5	998979	0.798315740770682	797500.660399355
T20_rep1	999076	1.11764452364539	1116611.82010554
T20_rep2	998755	1.12850428190986	1127099.29407888
T20_rep3	999017	1.05707659695477	1056037.49065996
T20_rep4	998936	1.03365308892174	1032553.28203513
T20_rep5	998723	0.967602612074746	966366.983539126
